"lab","mu_mean","sigma_mean","k_mean","fail_rate","fail_count","sample_size"
"lab_1_ESS",-1.28231082793322,-0.0103949766512423,0.0217391304347826,1e-09,0,22
"lab_1_NGM",-1.29030262145822,-0.00581736016728098,0.0217391304347826,1e-09,0,22
"lab_2_ESI",1.07647142764372,-0.229577148073005,0.0238095238095238,1e-09,0,20
"lab_2_NGM",1.09114029841018,-0.233948667679153,0.0238095238095238,1e-09,0,20
"lab_3_ESX",0.647760151651325,0.057447586040247,0.0263157894736842,1e-09,0,18
"lab_3_NGM",0.658184276190346,0.0497391949565949,0.0263157894736842,1e-09,0,18
"lab_4_ESI",0.43094387466178,0.0394327324137781,0.0151515151515152,1e-09,0,32
"lab_4_NGM",0.444126278560962,0.0359432405295175,0.0151515151515152,1e-09,0,32
"lab_5",-0.219023071459909,0.212701217103843,0.119047619047619,0.1,2,20
"lab_6",-1.17235542937312,0.00094709893789675,0.0135135135135135,1e-09,0,36
"lab_8",0.466878530980187,-0.210674736055621,0.02,1e-09,0,24
"lab_10",-0.13935926598032,-0.0442264111856465,0.42,0.416666666666667,10,24
"lab_12",-0.661607824679941,0.156044062868469,0.025,1e-09,0,19
"lab_13",0.87519230407044,-0.278154250657137,0.0238095238095238,1e-09,0,20
"lab_14",1.53097737925551,-0.480545399752711,0.0294117647058824,1e-09,0,16
"lab_16",0.588037550044811,-0.508216251061412,0.357142857142857,0.35,7,20
"lab_17",1.6709215036797,0.0345206910868679,0.0714285714285714,0.05,1,20
"lab_18_F6C",1.44248848786582,0.0471128780125146,0.0294117647058824,1e-09,0,16
"lab_18_GOF",1.44414132854906,0.0468222914090312,0.0294117647058824,1e-09,0,16
"lab_21",-0.759654427084712,-0.166081144179528,0.264705882352941,0.25,4,16
